TCGplayer Id,Product Line,Set Name,Product Name,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,My totals,My Store Price,Photo URL,Sold For ,Listed Where,Sold When,Where is it?,Sold For,Profit
7150908,Magic,Commander Masters,Personal Tutor,110,R,Near Mint,5.95,,,,,2,5.95,11.9,5.95,https://user-content.cardcastle.co/uploads/card_user/scanned_image/57e52b2e-8ebf-47f8-8316-e0d43de4091b.jpg,$7.00,In store,8/21/2026,81326,,4.025
8180493,Magic,Duskmourn: House of Horror,Unstoppable Slasher (0119),119,R,Near Mint,5.37,,,,,2,5.37,10.74,5.37,https://user-content.cardcastle.co/uploads/card_user/scanned_image/6f91d80a-fa77-41dc-8e5d-a97e0c826587.jpg,,,,81326,,
3608914,Magic,Masters 25,Ratcatcher,103,R,Near Mint,10.41,,,,,1,10.41,10.41,10.41,https://user-content.cardcastle.co/uploads/card_user/scanned_image/d0ee9110-9ea8-4316-8621-54b60358b372.jpg,,,,81326,,
5305653,Magic,The List Reprints,Bloodchief Ascension,ZEN-82,R,Near Mint,21.45,,,,,1,21.45,21.45,21.45,https://user-content.cardcastle.co/uploads/card_user/scanned_image/2f7443df-f139-46e3-be19-0fa3b619f3bd.jpg,$20.79,In store,8/21/2026,81326,,10.065
5199120,Magic,The List Reprints,"Mikaeus, the Unhallowed",UMA-106,M,Near Mint,27.36,,,,,1,27.36,27.36,27.36,https://user-content.cardcastle.co/uploads/card_user/scanned_image/e7bf631a-a890-40f3-91be-fe20af3e265e.jpg,,,,81326,,
9088510,Magic,Lorwyn Eclipsed,Moonshadow,110,M,Near Mint,11.73,,,,,1,11.73,11.73,11.73,https://user-content.cardcastle.co/uploads/card_user/scanned_image/04a17a96-cf97-4cef-9179-ccf3ae3dfab3.jpg,,,,81326,,
4896568,Magic,Commander 2021,Stinging Study,44,R,Near Mint,15.56,,,,,1,15.56,15.56,15.56,https://user-content.cardcastle.co/uploads/card_user/scanned_image/0a142aa8-0a6a-4d5e-809d-3779855101ad.jpg,,,,81326,,
8022189,Magic,Bloomburrow,"Maha, Its Feathers Night",100,M,Near Mint,21.86,,,,,1,21.86,21.86,21.86,https://user-content.cardcastle.co/uploads/card_user/scanned_image/7bdf56e2-b35b-4377-bdcc-f695f60ddf6f.jpg,,,,81326,,
7261498,Magic,Commander Masters,Toxic Deluge,191,R,Near Mint,5.67,,,,,1,5.67,5.67,5.67,https://user-content.cardcastle.co/uploads/card_user/scanned_image/0bd19cae-6e10-4a8c-9f89-1dba1daff096.jpg,,,,81326,,
8323032,Magic,Foundations,Painful Quandary,179,R,Near Mint,1.76,,,,,1,1.76,1.76,1.76,https://user-content.cardcastle.co/uploads/card_user/scanned_image/0e62c4cc-f5e0-4cbb-9ef2-c04d23f8b653.jpg,,,,81326,,
8465126,Magic,Innistrad Remastered,Griselbrand,115,M,Near Mint,7.7,,,,,1,7.7,7.7,7.7,https://user-content.cardcastle.co/uploads/card_user/scanned_image/64fcf619-ef6d-4f46-af31-cbf11cf3d3e7.jpg,,,,81326,,
7962119,Magic,Modern Horizons 3,Pinnacle Monk,246,U,Near Mint,1.7,,,,,2,1.7,3.4,1.7,https://user-content.cardcastle.co/uploads/card_user/scanned_image/99f7011a-0dcd-4ca2-ae96-e0054198b2ea.jpg,,,,81326,,
394484,Magic,Scars of Mirrodin,Painful Quandary,73,R,Near Mint,1.78,,,,,1,1.78,1.78,1.78,https://user-content.cardcastle.co/uploads/card_user/scanned_image/a27f1d8b-a77d-44fa-8887-74c7b0f174f3.jpg,,,,81326,,
3608626,Magic,Masters 25,Imperial Recruiter,136,M,Near Mint,14.03,,,,,1,14.03,14.03,14.03,https://user-content.cardcastle.co/uploads/card_user/scanned_image/db7544dc-b1ff-4e79-bf74-9695cbb678f3.jpg,$18.19,In store,8/17/2026,81326,,11.175
7815335,Magic,Outlaws of Thunder Junction,Slickshot Show-Off,146,R,Near Mint,5.76,,,,,2,5.76,11.52,5.76,https://user-content.cardcastle.co/uploads/card_user/scanned_image/5e9e0cde-d3b8-4f5a-bdd5-acd7a556eaac.jpg,,,,81326,,
8976461,Magic,Avatar: The Last Airbender,The Last Agni Kai,144,R,Near Mint,2.76,,,,,1,2.76,2.76,2.76,https://user-content.cardcastle.co/uploads/card_user/scanned_image/fca0212b-a65a-497e-916d-970e0a1c4697.jpg,,,,81326,,
